Created,Text,User,Company,Symbol,TwitterTerm
2020-04-17,A family wedding scheduled for June was just pushed back to 2021 due to the #COVID19 crisis.  I know the bride and groom are very sad to delay their day but look forward to@cheering them on next summer. Thanks to @Marriott for canceling reservations with no charge or penalty.,DaveKlain,Marriott International Inc. Class A,MAR,@Marriott
2020-04-17,"Homemade Lemongrass Liqueur 🧚🏻‍♂️
Herbalicious!!! Versatile with a sweet little touch!!! Endless possibilities!!
@RenaissanceOrla @RenHotels @AuroHotels @Marriott #ArcCardinal #homemade #lemongrass #liqueur #mixology #FridayVibes #herbal #sip #sweet #Florida https://t.co/j26W6CPAym",yvonnemdz,Marriott International Inc. Class A,MAR,@Marriott
2020-04-17,Someone please stop me from spending 85 dollars on The Marriott Pillow... @Marriott miss you,kristadiodati,Marriott International Inc. Class A,MAR,@Marriott
2020-04-17,this is a disgrace. The senate allowed major hotel chains to treat each individual hotel like a small business. This allowed hotels like @Marriott and @ClarionHotel__  to suck up a huge amount of small business money. We deserve better. I will never stay at a Marriott again.,SpartanDerek,Marriott International Inc. Class A,MAR,@Marriott
2020-04-17,"Raymond Vega Photography  
https://t.co/yYWYwIDfDK @madeline_gmail  @SanJuanMarriott  @marriott @ Puerto Rico https://t.co/Sbkdhyjlvb",raymondvideo,Marriott International Inc. Class A,MAR,@Marriott
2020-04-17,"Following a very productive call with leading members across @Marriott we have launched a campaign for the following: 

✅ All staff to be furloughed 
✅ 100% wages (incl. tips)
✅ A new deal for Marriott workers 

If you want to be part of it, join us: https://t.co/GAhBwLgTQm",FairHospitality,Marriott International Inc. Class A,MAR,@Marriott
2020-04-17,Resource: @Marriott Responders &amp; Community Caregiver Programs provides discounted rates for first responders &amp;  healthcare professionals who want to book rooms at hotels in close proximity to the hospitals where they’re working. Learn more: https://t.co/ungdKyqB49 #COVID19 https://t.co/rgQwCPZmYF,WashOzPH,Marriott International Inc. Class A,MAR,@Marriott
2020-04-17,JUST IN: @Marriott planning mass layoffs at Country Club Plaza hotel https://t.co/n6euPd2ds9 https://t.co/ZGN0tBcVF9,KCTV5,Marriott International Inc. Class A,MAR,@Marriott
2020-04-17,"Marriott says 25 percent of all hotels are closed worldwide.

https://t.co/0hBcBimgER

@Marriott https://t.co/N9mu4gMLGC",jetsettersblog,Marriott International Inc. Class A,MAR,@Marriott
2020-04-17,"Hey @Marriott &amp; @MarriottBonvoy, is now the right time to be hawking travel credit cards? #TooSoon https://t.co/VYiWly5fqn",sonofarabbi,Marriott International Inc. Class A,MAR,@Marriott
